CBSA,MDIV,STCOU,NAME,LSAD,CENSUS2000POP,ESTIMATESBASE2000,POPESTIMATE2000,POPESTIMATE2001,POPESTIMATE2002,POPESTIMATE2003,POPESTIMATE2004,BIRTHS2000,BIRTHS2001,BIRTHS2002,BIRTHS2003,BIRTHS2004,DEATHS2000,DEATHS2001,DEATHS2002,DEATHS2003,DEATHS2004,INTERNATIONALMIG2000,INTERNATIONALMIG2001,INTERNATIONALMIG2002,INTERNATIONALMIG2003,INTERNATIONALMIG2004,INTERNALMIG2000,INTERNALMIG2001,INTERNALMIG2002,INTERNALMIG2003,INTERNALMIG2004,RESIDUAL2000,RESIDUAL2001,RESIDUAL2002,RESIDUAL2003,RESIDUAL2004

,,,Metropolitan statistical areas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

10180,,,"Abilene, TX",Metropolitan Statistical Area,"160,245","160,241","160,094","158,284","158,071","158,203","158,515",578,"2,363","2,317","2,261","2,195",336,"1,539","1,580","1,494","1,455",90,125,176,159,142,-476,"-2,742","-1,102",-769,-576,-3,-17,-24,-25,6
10180,,48059,"Callahan County, TX",County or equivalent,"12,905","12,905","12,921","12,796","12,929","13,096","13,314",24,142,129,110,95,33,158,135,144,147,0,6,6,6,6,26,-112,137,197,265,-1,-3,-4,-2,-1
10180,,48253,"Jones County, TX",County or equivalent,"20,785","20,785","20,747","20,224","20,233","20,207","20,093",42,199,185,181,180,61,215,240,195,188,0,7,7,7,7,-18,-503,64,-14,-119,-1,-11,-7,-5,6
10180,,48441,"Taylor County, TX",County or equivalent,"126,555","126,551","126,426","125,264","124,909","124,900","125,108",512,"2,022","2,003","1,970","1,920",242,"1,166","1,205","1,155","1,120",90,112,163,146,129,-484,"-2,127","-1,303",-952,-722,-1,-3,-13,-18,1
10420,,,"Akron, OH",Metropolitan Statistical Area,"694,960","694,960","695,940","698,161","699,525","700,991","702,078","2,233","8,802","8,516","8,447","8,436","1,473","6,580","6,509","6,673","6,746",237,779,764,740,739,-89,"-1,287","-1,870","-1,035","-1,373",72,507,463,-13,31
10420,,39133,"Portage County, OH",County or equivalent,"152,061","152,061","152,366","152,828","153,387","154,249","154,764",434,"1,713","1,588","1,584","1,576",256,"1,081","1,140","1,188","1,167",38,143,141,139,139,74,-270,-13,347,-44,15,-43,-17,-20,11
10420,,39153,"Summit County, OH",County or equivalent,"542,899","542,899","543,574","545,333","546,138","546,742","547,314","1,799","7,089","6,928","6,863","6,860","1,217","5,499","5,369","5,485","5,579",199,636,623,601,600,-163,"-1,017","-1,857","-1,382","-1,329",57,550,480,7,20
10500,,,"Albany, GA",Metropolitan Statistical Area,"157,833","157,833","157,778","159,747","160,125","161,796","162,800",586,"2,577","2,346","2,358","2,373",316,"1,341","1,307","1,383","1,471",54,119,134,127,120,-372,-657,"-1,114",122,-14,-7,"1,271",319,447,-4
10500,,13007,"Baker County, GA",County or equivalent,"4,074","4,074","4,053","4,105","4,013","4,290","4,248",8,42,42,45,50,6,39,43,43,43,1,2,2,2,2,-23,48,-91,275,-53,-1,-1,-2,-2,2
10500,,13095,"Dougherty County, GA",County or equivalent,"96,065","96,065","95,923","95,874","95,712","95,719","95,681",370,"1,697","1,502","1,535","1,587",192,848,827,860,929,45,85,97,92,86,-361,-967,-920,-747,-783,-4,-16,-14,-13,1
10500,,13177,"Lee County, GA",County or equivalent,"24,757","24,757","24,890","26,745","27,727","28,837","29,913",83,327,338,326,285,41,134,129,139,138,7,21,24,22,22,84,341,408,435,913,0,"1,300",341,466,-6
10500,,13273,"Terrell County, GA",County or equivalent,"10,970","10,970","10,977","10,953","10,819","10,987","10,950",52,202,160,154,168,25,124,129,140,143,0,3,3,3,3,-18,-101,-166,152,-64,-2,-4,-2,-1,-1
10500,,13321,"Worth County, GA",County or equivalent,"21,967","21,967","21,935","22,070","21,854","21,963","22,008",73,309,304,298,283,52,196,179,201,218,1,8,8,8,7,-54,22,-345,7,-27,0,-8,-4,-3,0
10580,,,"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area,"825,875","825,875","826,685","829,339","834,133","840,612","845,269","2,390","9,380","9,218","9,315","9,511","1,854","7,778","7,796","7,615","7,549",372,"1,453","1,426","1,382","1,374",-126,-201,"2,053","3,525","1,280",28,-200,-107,-128,41
10580,,36001,"Albany County, NY",County or equivalent,"294,565","294,565","294,571","294,731","296,002","297,945","298,432",838,"3,201","3,266","3,247","3,258",710,"2,931","2,845","2,773","2,741",178,730,711,689,687,-321,-773,169,823,-726,21,-67,-30,-43,9
10580,,36083,"Rensselaer County, NY",County or equivalent,"152,538","152,538","152,571","152,377","152,531","153,142","154,077",408,"1,740","1,642","1,674","1,720",371,"1,514","1,504","1,495","1,530",71,294,280,273,274,-86,-671,-247,181,465,11,-43,-17,-22,6
10580,,36091,"Saratoga County, NY",County or equivalent,"200,635","200,635","201,492","204,340","207,065","210,302","212,706",639,"2,443","2,327","2,344","2,414",357,"1,453","1,565","1,471","1,434",52,151,162,158,153,528,"1,756","1,834","2,241","1,251",-5,-49,-33,-35,20
10580,,36093,"Schenectady County, NY",County or equivalent,"146,555","146,555","146,456","146,158","146,874","147,382","148,042",429,"1,696","1,688","1,746","1,809",341,"1,573","1,563","1,575","1,564",70,270,265,254,252,-258,-656,348,105,159,1,-35,-22,-22,4
10580,,36095,"Schoharie County, NY",County or equivalent,"31,582","31,582","31,595","31,733","31,661","31,841","32,012",76,300,295,304,310,75,307,319,301,280,1,8,8,8,8,11,143,-51,175,131,0,-6,-5,-6,2
10740,,,"Albuquerque, NM",Metropolitan Statistical Area,"729,649","729,649","731,599","739,604","753,614","766,619","781,447","2,617","10,722","10,807","11,177","11,151","1,124","5,217","5,450","5,462","5,546",627,"2,251","2,223","2,151","2,133",-200,430,"6,507","5,254","7,088",30,-181,-77,-115,2
10740,,35001,"Bernalillo County, NM",County or equivalent,"556,678","556,678","557,543","562,677","573,044","582,461","593,765","2,033","8,282","8,349","8,739","8,768",907,"4,072","4,272","4,291","4,368",573,"2,013","1,990","1,922","1,907",-872,-946,"4,345","3,133","4,993",38,-143,-45,-86,4
10740,,35043,"Sandoval County, NM",County or equivalent,"89,908","89,908","90,619","92,752","95,713","98,794","102,120",309,"1,252","1,289","1,314","1,328",97,577,615,612,608,19,82,83,78,78,490,"1,396","2,221","2,318","2,539",-10,-20,-17,-17,-11
10740,,35057,"Torrance County, NM",County or equivalent,"16,911","16,911","16,975","16,766","16,713","16,830","16,864",48,205,175,174,167,23,112,108,106,105,2,21,19,20,18,38,-319,-137,32,-50,-1,-4,-2,-3,4
10740,,35061,"Valencia County, NM",County or equivalent,"66,152","66,152","66,462","67,409","68,144","68,534","68,698",227,983,994,950,888,97,456,455,453,465,33,135,131,131,130,144,299,78,-229,-394,3,-14,-13,-9,5
10780,,,"Alexandria, LA",Metropolitan Statistical Area,"145,035","145,035","145,151","145,122","145,488","146,231","147,152",552,"2,192","2,189","2,121","2,187",364,"1,591","1,499","1,570","1,634",22,80,84,82,81,-104,-678,-390,131,275,10,-32,-18,-21,12
10780,,22043,"Grant Parish, LA",County or equivalent,"18,698","18,698","18,712","18,732","18,746","18,864","19,139",65,265,260,232,232,55,200,177,200,211,1,2,2,2,2,0,-40,-68,87,252,3,-7,-3,-3,0
10780,,22079,"Rapides Parish, LA",County or equivalent,"126,337","126,337","126,439","126,390","126,742","127,367","128,013",487,"1,927","1,929","1,889","1,955",309,"1,391","1,322","1,370","1,423",21,78,82,80,79,-104,-638,-322,44,23,7,-25,-15,-18,12
10900,,,"Allentown-Bethlehem-Easton, PA-NJ",Metropolitan Statistical Area,"740,395","740,394","741,997","749,503","758,243","769,332","779,816","2,116","8,597","8,440","8,798","8,969","1,661","7,386","7,432","7,405","7,395",431,"1,703","1,667","1,621","1,619",665,"4,657","6,089","8,137","7,320",52,-65,-24,-62,-29
10900,,34041,"Warren County, NJ",County or equivalent,"102,437","102,433","102,993","105,651","107,502","109,173","110,018",330,"1,276","1,310","1,347","1,391",171,758,891,891,864,50,232,225,217,217,351,"1,908","1,222","1,015",92,0,0,-15,-17,9
10900,,42025,"Carbon County, PA",County or equivalent,"58,802","58,802","58,844","59,248","59,754","60,366","61,194",148,589,591,611,598,177,793,806,792,797,4,17,17,17,17,64,599,708,786,"1,017",3,-8,-4,-10,-7
10900,,42077,"Lehigh County, PA",County or equivalent,"312,090","312,090","312,670","314,957","317,305","321,707","326,050",934,"3,770","3,790","3,987","4,001",720,"3,266","3,193","3,106","3,089",232,890,870,847,847,109,970,921,"2,726","2,588",25,-77,-40,-52,-4
10900,,42095,"Northampton County, PA",County or equivalent,"267,066","267,069","267,490","269,647","273,682","278,086","282,554",704,"2,962","2,749","2,853","2,979",593,"2,569","2,542","2,616","2,645",145,564,555,540,538,141,"1,180","3,238","3,610","3,623",24,20,35,17,-27
11020,,,"Altoona, PA",Metropolitan Statistical Area,"129,144","129,144","129,061","128,527","127,669","127,468","127,468",363,"1,467","1,394","1,456","1,507",346,"1,676","1,702","1,662","1,664",6,34,32,33,33,-114,-327,-565,-6,110,8,-32,-17,-22,14
11020,,42013,"Blair County, PA",County or equivalent,"129,144","129,144","129,061","128,527","127,669","127,468","127,468",363,"1,467","1,394","1,456","1,507",346,"1,676","1,702","1,662","1,664",6,34,32,33,33,-114,-327,-565,-6,110,8,-32,-17,-22,14
11100,,,"Amarillo, TX",Metropolitan Statistical Area,"226,522","226,522","227,082","228,738","230,802","233,555","236,113",897,"3,544","3,482","3,611","3,715",472,"1,975","2,110","2,146","2,143",140,589,576,555,558,-3,-435,166,772,409,-2,-67,-50,-39,19
11100,,48011,"Armstrong County, TX",County or equivalent,"2,148","2,148","2,168","2,172","2,116","2,094","2,163",11,17,26,22,19,4,23,27,31,28,0,0,0,0,0,14,11,-55,-12,76,-1,-1,0,-1,2
11100,,48065,"Carson County, TX",County or equivalent,"6,516","6,516","6,508","6,422","6,605","6,532","6,478",15,81,74,76,66,15,58,70,66,69,0,8,8,8,8,-7,-118,172,-90,-59,-1,1,-1,-1,0
11100,,48375,"Potter County, TX",County or equivalent,"113,546","113,546","113,732","114,577","115,706","117,642","118,410",541,"2,242","2,097","2,144","2,216",284,"1,155","1,273","1,282","1,270",109,442,431,412,415,-179,-652,-100,681,-603,-1,-32,-26,-19,10
11100,,48381,"Randall County, TX",County or equivalent,"104,312","104,312","104,674","105,567","106,375","107,287","109,062",330,"1,204","1,285","1,369","1,414",169,739,740,767,776,31,139,137,135,135,169,324,149,193,995,1,-35,-23,-18,7
11180,,,"Ames, IA",Metropolitan Statistical Area,"79,981","79,981","80,026","79,565","80,729","80,259","80,404",202,969,887,917,939,103,475,434,462,476,144,614,601,583,584,-199,"-1,567",118,"-1,495",-901,1,-2,-8,-13,-1
11180,,19169,"Story County, IA",County or equivalent,"79,981","79,981","80,026","79,565","80,729","80,259","80,404",202,969,887,917,939,103,475,434,462,476,144,614,601,583,584,-199,"-1,567",118,"-1,495",-901,1,-2,-8,-13,-1
11260,,,"Anchorage, AK",Metropolitan Statistical Area,"319,605","319,605","320,404","325,921","332,882","339,279","344,965","1,247","5,021","5,028","5,099","5,122",373,"1,491","1,681","1,660","1,655",281,581,662,621,579,-356,"1,501","2,985","2,388","1,627",0,-95,-33,-51,13
11260,,02020,"Anchorage Municipality, AK",County or equivalent,"260,283","260,283","260,501","263,706","267,769","270,865","272,687","1,026","4,183","4,166","4,266","4,275",288,"1,176","1,356","1,345","1,327",271,539,617,577,539,-801,-250,663,-366,"-1,695",10,-91,-27,-36,30
11260,,02170,"Matanuska-Susitna Borough, AK",County or equivalent,"59,322","59,322","59,903","62,215","65,113","68,414","72,278",221,838,862,833,847,85,315,325,315,328,10,42,45,44,40,445,"1,751","2,322","2,754","3,322",-10,-4,-6,-15,-17
11300,,,"Anderson, IN",Metropolitan Statistical Area,"133,358","133,358","133,299","132,433","131,976","131,138","130,602",407,"1,628","1,684","1,607","1,578",350,"1,531","1,522","1,487","1,420",22,95,95,93,94,-146,"-1,037",-699,"-1,031",-791,8,-21,-15,-20,3
11300,,18095,"Madison County, IN",County or equivalent,"133,358","133,358","133,299","132,433","131,976","131,138","130,602",407,"1,628","1,684","1,607","1,578",350,"1,531","1,522","1,487","1,420",22,95,95,93,94,-146,"-1,037",-699,"-1,031",-791,8,-21,-15,-20,3
11340,,,"Anderson, SC",Metropolitan Statistical Area,"165,740","165,740","166,338","168,828","170,274","171,816","173,550",551,"2,276","2,150","2,167","2,189",381,"1,773","1,815","1,785","1,784",30,136,133,130,130,392,"1,877",996,"1,057","1,197",6,-26,-18,-27,2
11340,,45007,"Anderson County, SC",County or equivalent,"165,740","165,740","166,338","168,828","170,274","171,816","173,550",551,"2,276","2,150","2,167","2,189",381,"1,773","1,815","1,785","1,784",30,136,133,130,130,392,"1,877",996,"1,057","1,197",6,-26,-18,-27,2
11460,,,"Ann Arbor, MI",Metropolitan Statistical Area,"322,895","322,770","324,244","328,281","332,449","335,805","339,191","1,098","4,086","4,190","4,196","4,151",434,"1,883","1,785","1,793","1,859",624,"2,436","2,371","2,312","2,315",160,-504,-566,"-1,312","-1,250",26,-98,-42,-47,29
11460,,26161,"Washtenaw County, MI",County or equivalent,"322,895","322,770","324,244","328,281","332,449","335,805","339,191","1,098","4,086","4,190","4,196","4,151",434,"1,883","1,785","1,793","1,859",624,"2,436","2,371","2,312","2,315",160,-504,-566,"-1,312","-1,250",26,-98,-42,-47,29
11500,,,"Anniston-Oxford, AL",Metropolitan Statistical Area,"112,249","112,243","111,386","111,221","111,441","112,097","112,425",373,"1,567","1,501","1,467","1,493",315,"1,409","1,337","1,256","1,229",19,71,72,70,69,-916,-369,-3,393,-12,-18,-25,-13,-18,7
11500,,01015,"Calhoun County, AL",County or equivalent,"112,249","112,243","111,386","111,221","111,441","112,097","112,425",373,"1,567","1,501","1,467","1,493",315,"1,409","1,337","1,256","1,229",19,71,72,70,69,-916,-369,-3,393,-12,-18,-25,-13,-18,7
11540,,,"Appleton, WI",Metropolitan Statistical Area,"201,602","201,722","202,554","205,594","208,593","210,992","213,102",714,"2,803","2,795","2,884","2,927",300,"1,364","1,355","1,350","1,382",57,256,248,243,244,351,"1,395","1,336",653,297,10,-50,-25,-31,24
11540,,55015,"Calumet County, WI",County or equivalent,"40,631","40,631","40,733","41,463","42,513","43,320","43,765",130,548,562,562,582,59,234,246,243,248,8,37,35,34,34,19,387,702,461,71,4,-8,-3,-7,6
11540,,55087,"Outagamie County, WI",County or equivalent,"160,971","161,091","161,821","164,131","166,080","167,672","169,337",584,"2,255","2,233","2,322","2,345",241,"1,130","1,109","1,107","1,134",49,219,213,209,210,332,"1,008",634,192,226,6,-42,-22,-24,18
11700,,,"Asheville, NC",Metropolitan Statistical Area,"369,171","369,171","370,423","373,846","377,962","382,566","387,248","1,083","4,404","4,354","4,410","4,375",948,"4,253","4,201","4,282","4,457",233,937,908,893,890,892,"2,422","3,094","3,649","3,886",-8,-87,-39,-66,-12
11700,,37021,"Buncombe County, NC",County or equivalent,"206,330","206,289","206,975","208,379","210,513","213,228","215,680",641,"2,573","2,516","2,563","2,502",491,"2,290","2,192","2,221","2,373",135,523,510,497,496,394,651,"1,320","1,910","1,830",7,-53,-20,-34,-3
11700,,37087,"Haywood County, NC",County or equivalent,"54,033","54,033","54,114","54,621","55,071","55,619","56,256",139,547,558,569,560,147,644,683,673,649,8,38,38,38,38,85,577,544,624,691,-4,-11,-7,-10,-3
11700,,37089,"Henderson County, NC",County or equivalent,"89,173","89,214","89,634","90,999","92,439","93,772","95,361",243,"1,074","1,051","1,066","1,117",251,"1,092","1,128","1,162","1,189",89,363,347,345,343,348,"1,041","1,180","1,102","1,327",-9,-21,-10,-18,-9
11700,,37115,"Madison County, NC",County or equivalent,"19,635","19,635","19,700","19,847","19,939","19,947","19,951",60,210,229,212,196,59,227,198,226,246,1,13,13,13,13,65,153,50,13,38,-2,-2,-2,-4,3
12020,,,"Athens-Clarke County, GA",Metropolitan Statistical Area,"166,079","166,079","166,691","168,040","169,335","171,776","173,760",502,"2,123","2,222","2,238","2,273",246,"1,162","1,118","1,156","1,163",217,841,823,791,792,138,-420,-610,592,74,1,-33,-22,-24,8
12020,,13059,"Clarke County, GA",County or equivalent,"101,489","101,489","101,705","102,226","102,211","103,143","103,951",301,"1,289","1,373","1,370","1,407",130,646,612,632,646,206,771,755,722,723,-167,-876,"-1,519",-514,-682,6,-17,-12,-14,6
12020,,13195,"Madison County, GA",County or equivalent,"25,730","25,730","25,859","26,149","26,689","27,138","27,312",81,361,353,380,392,51,242,234,243,258,5,27,27,27,27,95,149,395,288,11,-1,-5,-1,-3,2
12020,,13219,"Oconee County, GA",County or equivalent,"26,225","26,225","26,406","26,771","27,297","28,137","28,940",75,312,325,323,317,35,150,155,164,153,6,40,38,39,39,137,169,325,647,601,-2,-6,-7,-5,-1
12020,,13221,"Oglethorpe County, GA",County or equivalent,"12,635","12,635","12,721","12,894","13,138","13,358","13,557",45,161,171,165,157,30,124,117,117,106,0,3,3,3,3,73,138,189,171,144,-2,-5,-2,-2,1
12060,,,"Atlanta-Sandy Springs-Marietta, GA",Metropolitan Statistical Area,"4,247,981","4,248,018","4,281,592","4,402,688","4,504,145","4,604,817","4,708,297","17,584","73,990","74,140","75,303","75,934","6,489","27,677","27,720","28,300","28,578","7,747","29,540","28,789","28,007","27,977","15,101","44,565","25,889","25,353","28,299",-369,678,359,309,-152
12060,,13013,"Barrow County, GA",County or equivalent,"46,144","46,144","46,563","48,568","51,231","53,420","56,418",172,798,831,843,860,122,372,363,396,409,16,65,63,63,62,363,"1,509","2,134","1,689","2,504",-10,5,-2,-10,-19
12060,,13015,"Bartow County, GA",County or equivalent,"76,019","76,019","76,718","79,591","82,594","85,058","86,972",333,"1,394","1,386","1,459","1,489",164,645,638,700,731,41,138,134,132,132,499,"1,996","2,129","1,587","1,016",-10,-10,-8,-14,8
12060,,13035,"Butts County, GA",County or equivalent,"19,522","19,489","19,679","20,396","21,401","22,079","22,362",63,279,316,308,326,34,198,193,190,200,0,4,4,4,4,166,631,880,560,150,-5,1,-2,-4,3
12060,,13045,"Carroll County, GA",County or equivalent,"87,268","87,268","88,035","91,570","94,858","98,757","101,577",327,"1,473","1,433","1,488","1,516",190,771,792,817,869,54,226,222,218,219,588,"2,604","2,432","3,028","1,963",-12,3,-7,-18,-9
12060,,13057,"Cherokee County, GA",County or equivalent,"141,903","141,903","143,811","151,703","159,556","166,947","174,680",617,"2,491","2,678","2,735","2,782",179,834,843,881,870,148,565,552,537,535,"1,355","5,654","5,493","5,031","5,305",-33,16,-27,-31,-19
