CBSA,MDIV,STCOU,NAME,LSAD,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,NPOPCHG2020,NPOPCHG2021,NPOPCHG2022,NPOPCHG2023,BIRTHS2020,BIRTHS2021,BIRTHS2022,BIRTHS2023,DEATHS2020,DEATHS2021,DEATHS2022,DEATHS2023,NATURALCHG2020,NATURALCHG2021,NATURALCHG2022,NATURALCHG2023,INTERNATIONALMIG2020,INTERNATIONALMIG2021,INTERNATIONALMIG2022,INTERNATIONALMIG2023,DOMESTICMIG2020,DOMESTICMIG2021,DOMESTICMIG2022,DOMESTICMIG2023,NETMIG2020,NETMIG2021,NETMIG2022,NETMIG2023,RESIDUAL2020,RESIDUAL2021,RESIDUAL2022,RESIDUAL2023
10180,,,"Abilene, TX",Metropolitan Statistical Area,176562,176883,177831,179665,181591,321,948,1834,1926,500,2145,2273,2321,431,2378,2303,2053,69,-233,-30,268,2,142,472,536,205,990,1403,1121,207,1132,1875,1657,45,49,-11,1
10180,,48059,"Callahan County, TX",County or equivalent,13705,13747,14098,14247,14374,42,351,149,127,27,129,139,143,49,234,232,215,-22,-105,-93,-72,0,0,3,3,70,475,238,198,70,475,241,201,-6,-19,1,-2
10180,,48253,"Jones County, TX",County or equivalent,19654,19682,19811,20271,20381,28,129,460,110,40,148,158,163,55,288,259,248,-15,-140,-101,-85,0,4,5,6,39,268,522,190,39,272,527,196,4,-3,34,-1
10180,,48441,"Taylor County, TX",County or equivalent,143203,143454,143922,145147,146836,251,468,1225,1689,433,1868,1976,2015,327,1856,1812,1590,106,12,164,425,2,138,464,527,96,247,643,733,98,385,1107,1260,47,71,-46,4
10420,,,"Akron, OH",Metropolitan Statistical Area,702225,701674,696512,697511,698398,-551,-5162,999,887,1704,6715,6826,6793,2175,8652,9197,8066,-471,-1937,-2371,-1273,31,538,1226,1481,-285,-3931,2304,666,-254,-3393,3530,2147,174,168,-160,13
10420,,39133,"Portage County, OH",County or equivalent,161796,161853,159076,161742,162665,57,-2777,2666,923,326,1327,1362,1363,424,1782,1964,1720,-98,-455,-602,-357,7,105,256,315,88,-2284,2846,966,95,-2179,3102,1281,60,-143,166,-1
10420,,39153,"Summit County, OH",County or equivalent,540429,539821,537436,535769,535733,-608,-2385,-1667,-36,1378,5388,5464,5430,1751,6870,7233,6346,-373,-1482,-1769,-916,24,433,970,1166,-373,-1647,-542,-300,-349,-1214,428,866,114,311,-326,14
10500,,,"Albany, GA",Metropolitan Statistical Area,148915,148249,144933,145796,145508,-666,-3316,863,-288,444,1717,1686,1712,599,1866,1960,1801,-155,-149,-274,-89,1,19,75,96,-473,-3016,1019,-297,-472,-2997,1094,-201,-39,-170,43,2
10500,,13095,"Dougherty County, GA",County or equivalent,85793,85155,82235,82895,82645,-638,-2920,660,-250,268,1108,1061,1101,383,1147,1186,1066,-115,-39,-125,35,1,14,49,70,-471,-2715,681,-359,-470,-2701,730,-289,-53,-180,55,4
10500,,13177,"Lee County, GA",County or equivalent,33164,33222,33209,33678,33872,58,-13,469,194,93,298,318,315,85,301,316,299,8,-3,2,16,0,4,26,26,39,-22,445,154,39,-18,471,180,11,8,-4,-2
10500,,13273,"Terrell County, GA",County or equivalent,9184,9140,8924,8792,8718,-44,-216,-132,-74,17,84,87,88,52,129,139,137,-35,-45,-52,-49,0,0,1,1,-11,-165,-80,-25,-11,-165,-79,-24,2,-6,-1,-1
10500,,13321,"Worth County, GA",County or equivalent,20774,20732,20565,20431,20273,-42,-167,-134,-158,66,227,220,208,79,289,319,299,-13,-62,-99,-91,0,1,-1,-1,-30,-114,-27,-67,-30,-113,-28,-68,1,8,-7,1
10540,,,"Albany, OR",Metropolitan Statistical Area,128611,128981,130120,130622,131496,370,1139,502,874,358,1480,1433,1391,387,1528,1726,1576,-29,-48,-293,-185,1,6,28,10,409,1149,776,1045,410,1155,804,1055,-11,32,-9,4
10540,,41043,"Linn County, OR",County or equivalent,128611,128981,130120,130622,131496,370,1139,502,874,358,1480,1433,1391,387,1528,1726,1576,-29,-48,-293,-185,1,6,28,10,409,1149,776,1045,410,1155,804,1055,-11,32,-9,4
10580,,,"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area,899247,899724,904824,903595,904682,477,5100,-1229,1087,2168,8397,8581,8581,2322,9223,9360,8874,-154,-826,-779,-293,19,844,2103,2012,769,4765,-2109,-643,788,5609,-6,1369,-157,317,-444,11
10580,,36001,"Albany County, NY",County or equivalent,314851,314018,316178,315921,316659,-833,2160,-257,738,765,2813,2862,2861,861,3192,3112,2943,-96,-379,-250,-82,18,479,1182,1140,-729,1988,-1026,-328,-711,2467,156,812,-26,72,-163,8
10580,,36083,"Rensselaer County, NY",County or equivalent,161124,160871,160622,159421,159305,-253,-249,-1201,-116,398,1527,1496,1496,412,1687,1759,1674,-14,-160,-263,-178,0,129,344,330,-255,-337,-1243,-267,-255,-208,-899,63,16,119,-39,-1
