CBSA,MDIV,STCOU,NAME,LSAD,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,NPOPCHG_2010,NPOPCHG_2011,NPOPCHG_2012,NATURALINC2010,NATURALINC2011,NATURALINC2012,BIRTHS2010,BIRTHS2011,BIRTHS2012,DEATHS2010,DEATHS2011,DEATHS2012,NETMIG2010,NETMIG2011,NETMIG2012,INTERNATIONALMIG2010,INTERNATIONALMIG2011,INTERNATIONALMIG2012,DOMESTICMIG2010,DOMESTICMIG2011,DOMESTICMIG2012,RESIDUAL2010,RESIDUAL2011,RESIDUAL2012
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Metropolitan Statistical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10180,,,"Abilene, TX",Metropolitan Statistical Area,165252,165252,165578,166481,166963,326,903,482,113,691,668,554,2294,2350,441,1603,1682,210,167,-186,80,65,395,130,102,-581,3,45,0
10180,,48059,"Callahan County, TX",County or equivalent,13544,13544,13520,13547,13517,-24,27,-30,-29,-57,-54,31,115,127,60,172,181,6,67,25,2,6,9,4,61,16,-1,17,-1
10180,,48253,"Jones County, TX",County or equivalent,20202,20202,20212,20278,19973,10,66,-305,-17,-25,-13,39,169,168,56,194,181,26,79,-297,1,1,4,25,78,-301,1,12,5
10180,,48441,"Taylor County, TX",County or equivalent,131506,131506,131846,132656,133473,340,810,817,159,773,735,484,2010,2055,325,1237,1320,178,21,86,77,58,382,101,-37,-296,3,16,-4
10420,,,"Akron, OH",Metropolitan Statistical Area,703200,703205,703055,702854,702262,-150,-201,-592,339,739,662,1902,7476,7418,1563,6737,6756,-487,-723,-1239,241,959,1009,-728,-1682,-2248,-2,-217,-15
10420,,39133,"Portage County, OH",County or equivalent,161419,161419,161403,161627,161451,-16,224,-176,53,145,162,365,1462,1457,312,1317,1295,-70,134,-329,46,192,201,-116,-58,-530,1,-55,-9
10420,,39153,"Summit County, OH",County or equivalent,541781,541786,541652,541227,540811,-134,-425,-416,286,594,500,1537,6014,5961,1251,5420,5461,-417,-857,-910,195,767,808,-612,-1624,-1718,-3,-162,-6
10500,,,"Albany, GA",Metropolitan Statistical Area,157308,157308,157580,157668,157399,272,88,-269,209,1079,893,542,2293,2288,333,1214,1395,74,-1093,-1177,35,74,169,39,-1167,-1346,-11,102,15
10500,,13007,"Baker County, GA",County or equivalent,3451,3451,3437,3326,3366,-14,-111,40,5,22,15,7,38,29,2,16,14,-18,-136,26,0,0,0,-18,-136,26,-1,3,-1
10500,,13095,"Dougherty County, GA",County or equivalent,94565,94565,94755,94647,94501,190,-108,-146,206,778,626,363,1527,1524,157,749,898,-8,-969,-784,32,69,157,-40,-1038,-941,-8,83,12
10500,,13177,"Lee County, GA",County or equivalent,28298,28298,28440,28621,28746,142,181,125,11,197,201,78,367,378,67,170,177,131,-26,-77,2,2,7,129,-28,-84,0,10,1
10500,,13273,"Terrell County, GA",County or equivalent,9315,9315,9322,9212,9045,7,-110,-167,-10,53,29,32,133,127,42,80,98,18,-165,-199,0,4,4,18,-169,-203,-1,2,3
10500,,13321,"Worth County, GA",County or equivalent,21679,21679,21626,21862,21741,-53,236,-121,-3,29,22,62,228,230,65,199,208,-49,203,-143,1,-1,1,-50,204,-144,-1,4,0
10540,,,"Albany, OR",Metropolitan Statistical Area,116672,116672,116894,118135,118360,222,1241,225,116,257,224,382,1435,1428,266,1178,1204,107,964,8,13,57,69,94,907,-61,-1,20,-7
10540,,41043,"Linn County, OR",County or equivalent,116672,116672,116894,118135,118360,222,1241,225,116,257,224,382,1435,1428,266,1178,1204,107,964,8,13,57,69,94,907,-61,-1,20,-7
10580,,,"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area,870716,870718,871081,873076,874646,363,1995,1570,579,1594,1301,2312,9155,8884,1733,7561,7583,-181,457,303,513,2035,2202,-694,-1578,-1899,-35,-56,-34
10580,,36001,"Albany County, NY",County or equivalent,304204,304206,303998,304628,305455,-208,630,827,200,436,369,780,3050,2964,580,2614,2595,-397,230,491,264,1097,1146,-661,-867,-655,-11,-36,-33
10580,,36083,"Rensselaer County, NY",County or equivalent,159429,159429,159443,159880,159835,14,437,-45,51,297,258,415,1752,1740,364,1455,1482,-29,195,-306,90,344,358,-119,-149,-664,-8,-55,3
10580,,36091,"Saratoga County, NY",County or equivalent,219607,219607,220014,221081,222133,407,1067,1052,211,495,368,594,2210,2112,383,1715,1744,199,596,691,54,162,246,145,434,445,-3,-24,-7
10580,,36093,"Schenectady County, NY",County or equivalent,154727,154727,154940,154854,155124,213,-86,270,105,361,309,453,1859,1799,348,1498,1490,107,-513,-35,104,419,438,3,-932,-473,1,66,-4
10580,,36095,"Schoharie County, NY",County or equivalent,32749,32749,32686,32633,32099,-63,-53,-534,12,5,-3,70,284,269,58,279,272,-61,-51,-538,1,13,14,-62,-64,-552,-14,-7,7
10740,,,"Albuquerque, NM",Metropolitan Statistical Area,887077,887079,889568,897320,901700,2489,7752,4380,1278,4984,4773,2792,11622,11588,1514,6638,6815,1171,2889,-358,186,664,1048,985,2225,-1406,40,-121,-35
10740,,35001,"Bernalillo County, NM",County or equivalent,662564,662564,664120,669880,673460,1556,5760,3580,994,3829,3700,2145,8854,8872,1151,5025,5172,537,2104,-93,162,649,996,375,1455,-1089,25,-173,-27
10740,,35043,"Sandoval County, NM",County or equivalent,131561,131561,132340,134231,135588,779,1891,1357,189,738,706,381,1616,1590,192,878,884,571,1082,665,24,45,62,547,1037,603,19,71,-14
10740,,35057,"Torrance County, NM",County or equivalent,16383,16383,16368,16367,16021,-15,-1,-346,9,22,6,42,161,159,33,139,153,-22,-27,-357,0,0,1,-22,-27,-358,-2,4,5
10740,,35061,"Valencia County, NM",County or equivalent,76569,76571,76740,76842,76631,169,102,-211,86,395,361,224,991,967,138,596,606,85,-270,-573,0,-30,-11,85,-240,-562,-2,-23,1
10780,,,"Alexandria, LA",Metropolitan Statistical Area,153922,153922,154093,154379,154441,171,286,62,130,608,594,497,2077,2141,367,1469,1547,45,-265,-528,25,110,133,20,-375,-661,-4,-57,-4
10780,,22043,"Grant Parish, LA",County or equivalent,22309,22309,22334,22115,22068,25,-219,-47,14,74,55,64,250,246,50,176,191,12,-305,-102,1,5,8,11,-310,-110,-1,12,0
10780,,22079,"Rapides Parish, LA",County or equivalent,131613,131613,131759,132264,132373,146,505,109,116,534,539,433,1827,1895,317,1293,1356,33,40,-426,24,105,125,9,-65,-551,-3,-69,-4
10900,,,"Allentown-Bethlehem-Easton, PA-NJ",Metropolitan Statistical Area,821173,821173,822055,825312,827171,882,3257,1859,319,1315,1129,2156,8878,8726,1837,7563,7597,562,2080,772,474,2149,2215,88,-69,-1443,1,-138,-42
