CBSA,MDIV,STCOU,NAME,LSAD,CENSUS2000POP,ESTIMATESBASE2000,POPESTIMATE2000,POPESTIMATE2001,POPESTIMATE2002,POPESTIMATE2003,POPESTIMATE2004,POPESTIMATE2005,BIRTHS2000,BIRTHS2001,BIRTHS2002,BIRTHS2003,BIRTHS2004,BIRTHS2005,DEATHS2000,DEATHS2001,DEATHS2002,DEATHS2003,DEATHS2004,DEATHS2005,INTERNATIONALMIG2000,INTERNATIONALMIG2001,INTERNATIONALMIG2002,INTERNATIONALMIG2003,INTERNATIONALMIG2004,INTERNATIONALMIG2005,INTERNALMIG2000,INTERNALMIG2001,INTERNALMIG2002,INTERNALMIG2003,INTERNALMIG2004,INTERNALMIG2005,RESIDUAL2000,RESIDUAL2001,RESIDUAL2002,RESIDUAL2003,RESIDUAL2004,RESIDUAL2005
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , ,Metropolitan Statistical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10180,,,"Abilene, TX",Metropolitan Statistical Area,160245,160241,160095,158300,158068,158106,158449,158291,578,2363,2317,2230,2379,2461,336,1538,1582,1455,1497,1549,91,134,188,162,127,240,-474,-2705,-1104,-845,-608,-1318,-5,-49,-51,-54,-58,8
10180,,48059,"Callahan County, TX",County or equivalent,12905,12905,12921,12794,12925,13084,13332,13516,24,142,129,116,145,152,33,157,135,141,132,129,0,6,6,6,6,5,26,-112,137,183,232,154,-1,-6,-6,-5,-3,2
10180,,48253,"Jones County, TX",County or equivalent,20785,20785,20747,20219,20226,20170,20026,19736,42,199,185,170,162,164,61,215,240,198,191,173,0,7,8,7,7,6,-17,-503,64,-25,-109,-275,-2,-16,-10,-10,-13,-12
10180,,48441,"Taylor County, TX",County or equivalent,126555,126551,126427,125287,124917,124852,125091,125039,512,2022,2003,1944,2072,2145,242,1166,1207,1116,1174,1247,91,121,174,149,114,229,-483,-2090,-1305,-1003,-731,-1197,-2,-27,-35,-39,-42,18
10420,,,"Akron, OH",Metropolitan Statistical Area,694960,694960,695946,698398,699792,701422,701837,702235,2233,8802,8516,8345,8236,8222,1471,6580,6509,6647,6674,6759,239,781,779,743,666,600,-89,-1013,-1827,-758,-1799,-1849,74,462,435,-53,-14,184
10420,,39133,"Portage County, OH",County or equivalent,152061,152061,152367,153074,153653,154802,155229,155631,434,1713,1588,1595,1634,1658,254,1081,1140,1178,1181,1166,36,146,142,139,124,115,74,9,34,646,-104,-249,16,-80,-45,-53,-46,44
10420,,39153,"Summit County, OH",County or equivalent,542899,542899,543579,545324,546139,546620,546608,546604,1799,7089,6928,6750,6602,6564,1217,5499,5369,5469,5493,5593,203,635,637,604,542,485,-163,-1022,-1861,-1404,-1695,-1600,58,542,480,0,32,140
10500,,,"Albany, GA",Metropolitan Statistical Area,157833,157866,157812,159753,160122,161706,162348,162842,586,2577,2346,2303,2314,2326,315,1341,1308,1395,1385,1390,56,123,143,128,113,144,-374,-662,-1111,91,-340,-566,-7,1244,299,457,-60,-20
10500,,13007,"Baker County, GA",County or equivalent,4074,4074,4053,4104,4012,4286,4216,4154,8,42,42,40,33,37,6,39,43,39,42,42,1,3,2,2,2,3,-23,48,-91,272,-60,-58,-1,-3,-2,-1,-3,-2
10500,,13095,"Dougherty County, GA",County or equivalent,96065,96065,95924,95855,95690,95649,95222,94882,370,1697,1502,1527,1514,1505,192,849,828,868,873,908,46,88,107,93,81,112,-361,-969,-916,-763,-1105,-1046,-4,-36,-30,-30,-44,-3
10500,,13177,"Lee County, GA",County or equivalent,24757,24757,24891,26745,27727,28837,29987,31099,83,327,338,300,330,345,40,134,129,140,146,141,8,21,23,22,20,20,83,340,407,427,946,900,0,1300,343,501,0,-12
10500,,13273,"Terrell County, GA",County or equivalent,10970,10970,10977,10952,10816,10986,10932,10711,52,202,160,167,169,166,25,123,129,149,140,121,0,3,3,3,3,2,-18,-102,-167,153,-80,-262,-2,-5,-3,-4,-6,-6
10500,,13321,"Worth County, GA",County or equivalent,21967,22000,21967,22097,21877,21948,21991,21996,73,309,304,269,268,273,52,196,179,199,184,178,1,8,8,8,7,7,-55,21,-344,2,-41,-100,0,-12,-9,-9,-7,3
10580,,,"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area,825875,825875,826687,829171,833836,840554,844961,848879,2390,9380,9218,9543,9557,9488,1853,7776,7795,7653,7541,7513,370,1455,1475,1397,1271,1209,-125,-199,2030,3726,1391,546,30,-376,-263,-295,-271,188
10580,,36001,"Albany County, NY",County or equivalent,294565,294565,294573,294698,295939,297698,297910,297414,838,3201,3266,3244,3228,3201,710,2931,2846,2846,2853,2815,179,732,740,698,639,590,-320,-748,166,766,-711,-1540,21,-129,-85,-103,-91,68
10580,,36083,"Rensselaer County, NY",County or equivalent,152538,152538,152570,152343,152483,153404,154460,155251,408,1740,1642,1725,1758,1777,370,1513,1503,1487,1387,1369,69,294,295,276,255,240,-86,-673,-248,461,481,100,11,-75,-46,-54,-51,43
10580,,36091,"Saratoga County, NY",County or equivalent,200635,200635,201494,204296,206983,210329,212586,214859,639,2443,2327,2476,2433,2319,357,1453,1564,1441,1435,1459,53,151,164,158,138,158,528,1753,1832,2230,1194,1219,-4,-92,-72,-77,-73,36
10580,,36093,"Schenectady County, NY",County or equivalent,146555,146555,146455,146108,146783,147315,148065,149078,429,1696,1688,1805,1850,1889,341,1572,1563,1589,1583,1597,68,269,268,257,232,217,-258,-673,331,110,295,463,2,-67,-49,-51,-44,41
10580,,36095,"Schoharie County, NY",County or equivalent,31582,31582,31595,31726,31648,31808,31940,32277,76,300,295,293,288,302,75,307,319,290,283,273,1,9,8,8,7,4,11,142,-51,159,132,304,0,-13,-11,-10,-12,0
10740,,,"Albuquerque, NM",Metropolitan Statistical Area,729649,729653,731611,739463,753410,766806,781380,797940,2617,10722,10807,11221,11138,10861,1126,5215,5445,5354,5090,4727,629,2251,2291,2157,1968,1893,-195,435,6514,5639,6817,8508,33,-341,-220,-267,-259,25
10740,,35001,"Bernalillo County, NM",County or equivalent,556678,556002,556870,561881,572195,581663,592538,603562,2033,8282,8349,8807,8695,8451,908,4069,4269,4200,3979,3740,573,2007,2044,1927,1751,1693,-869,-944,4344,3139,4587,4540,39,-265,-154,-205,-179,80
10740,,35043,"Sandoval County, NM",County or equivalent,89908,90584,91299,93420,96375,99435,102725,107460,309,1252,1289,1310,1275,1247,97,576,616,586,560,505,20,85,86,79,73,70,492,1398,2232,2289,2545,3976,-9,-38,-36,-32,-43,-53
10740,,35057,"Torrance County, NM",County or equivalent,16911,16915,16979,16764,16709,17209,17544,17501,48,205,175,171,175,173,23,113,108,131,137,107,2,20,20,20,20,16,38,-319,-138,444,284,-127,-1,-8,-4,-4,-7,2
