Table with column headers in rows 2 and one column header in column D rows 4 and 1486.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBSA,MDIV,STCOU,NAME,LSAD,CENSUS2000POP,ESTIMATESBASE2000,POPESTIMATE2000,POPESTIMATE2001,POPESTIMATE2002,POPESTIMATE2003,BIRTHS2000,BIRTHS2001,BIRTHS2002,BIRTHS2003,DEATHS2000,DEATHS2001,DEATHS2002,DEATHS2003,INTERNATIONALMIG2000,INTERNATIONALMIG2001,INTERNATIONALMIG2002,INTERNATIONALMIG2003,INTERNALMIG2000,INTERNALMIG2001,INTERNALMIG2002,INTERNALMIG2003,RESIDUAL2000,RESIDUAL2001,RESIDUAL2002,RESIDUAL2003

,,,Metropolitan statistical areas and components,,,,,,,,,,,,,,,,,,,,,,,,,,,
10180,,,"Abilene, TX",Metropolitan Statistical Area,"160,245","160,241","160,128","158,408","158,198","158,488",577,"2,362","2,354","2,358",336,"1,535","1,521","1,518",58,168,174,160,-390,"-2,796","-1,196",-687,-22,81,-21,-23
10180,,48059,"Callahan County, TX",County or equivalent,"12,905","12,905","12,922","12,781","12,915","13,110",23,142,131,135,33,158,139,124,1,5,5,5,24,-127,143,177,2,-3,-6,2
10180,,48253,"Jones County, TX",County or equivalent,"20,785","20,785","20,744","20,310","20,266","20,039",41,198,195,193,61,215,243,267,1,5,5,5,-33,-399,11,-152,11,-23,-12,-6
10180,,48441,"Taylor County, TX",County or equivalent,"126,555","126,551","126,462","125,317","125,017","125,339",513,"2,022","2,028","2,030",242,"1,162","1,139","1,127",56,158,164,150,-381,"-2,270","-1,350",-712,-35,107,-3,-19
10420,,,"Akron, OH",Metropolitan Statistical Area,"694,960","694,960","695,920","698,528","700,130","701,643","2,233","8,802","8,673","8,582","1,456","6,566","6,515","6,459",209,834,835,834,89,-837,"-1,692","-1,338",-115,375,301,-106
10420,,39133,"Portage County, OH",County or equivalent,"152,061","152,061","152,368","153,146","153,955","154,870",434,"1,713","1,669","1,585",253,"1,080","1,081","1,082",34,135,135,135,147,40,143,309,-55,-30,-57,-32
10420,,39153,"Summit County, OH",County or equivalent,"542,899","542,899","543,552","545,382","546,175","546,773","1,799","7,089","7,004","6,997","1,203","5,486","5,434","5,377",175,699,700,699,-58,-877,"-1,835","-1,647",-60,405,358,-74
10500,,,"Albany, GA",Metropolitan Statistical Area,"157,833","157,833","157,743","160,660","160,164","161,104",586,"2,578","2,445","2,350",316,"1,349","1,362","1,357",39,126,129,124,-352,-745,"-1,118",-176,-47,"2,307",-590,-1
10500,,13007,"Baker County, GA",County or equivalent,"4,074","4,074","4,052","4,103","4,020","4,307",8,43,49,46,6,39,38,42,1,3,3,3,-24,44,-99,271,-1,0,2,9
10500,,13095,"Dougherty County, GA",County or equivalent,"96,065","96,065","95,899","95,876","95,795","95,684",369,"1,698","1,601","1,519",192,850,872,884,29,92,95,90,-344,-997,-898,-834,-28,34,-7,-2
10500,,13177,"Lee County, GA",County or equivalent,"24,757","24,757","24,889","27,690","27,727","28,410",84,326,319,311,41,137,136,125,6,22,22,22,94,304,418,471,-11,"2,286",-586,4
10500,,13273,"Terrell County, GA",County or equivalent,"10,970","10,970","10,974","10,944","10,828","10,854",52,201,184,180,25,123,128,127,1,3,3,3,-17,-112,-176,-28,-7,1,1,-2
10500,,13321,"Worth County, GA",County or equivalent,"21,967","21,967","21,929","22,047","21,794","21,849",73,310,292,294,52,200,188,179,2,6,6,6,-61,16,-363,-56,0,-14,0,-10
10580,,,"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area,"825,875","825,875","826,669","829,682","834,964","840,644","2,387","9,387","9,234","9,195","1,842","7,744","7,673","7,800",358,"1,405","1,408","1,403",33,142,"2,530","3,017",-142,-177,-217,-135
10580,,36001,"Albany County, NY",County or equivalent,"294,565","294,565","294,577","294,940","296,350","297,845",838,"3,203","3,212","3,257",697,"2,925","2,819","2,874",181,720,720,719,-191,-625,382,453,-119,-10,-85,-60
10580,,36083,"Rensselaer County, NY",County or equivalent,"152,538","152,538","152,607","152,704","153,241","154,007",407,"1,742","1,692","1,636",370,"1,502","1,503","1,541",69,274,274,274,-48,-316,124,422,11,-101,-50,-25
10580,,36091,"Saratoga County, NY",County or equivalent,"200,635","200,635","201,451","204,173","206,862","209,818",638,"2,444","2,359","2,343",354,"1,441","1,508","1,570",42,148,150,147,480,"1,631","1,724","2,046",10,-60,-36,-10
10580,,36093,"Schenectady County, NY",County or equivalent,"146,555","146,555","146,441","146,144","146,883","147,289",428,"1,697","1,678","1,672",344,"1,566","1,523","1,512",64,256,257,256,-264,-644,363,24,2,-40,-36,-34
10580,,36095,"Schoharie County, NY",County or equivalent,"31,582","31,582","31,593","31,721","31,628","31,685",76,301,293,287,77,310,320,303,2,7,7,7,56,96,-63,72,-46,34,-10,-6
10740,,,"Albuquerque, NM",Metropolitan Statistical Area,"729,649","729,649","731,594","738,693","752,373","764,869","2,619","10,725","10,812","10,578","1,139","5,252","5,519","5,798",574,"2,241","2,248","2,234",-153,-341,"6,146","5,513",44,-274,-7,-31
10740,,35001,"Bernalillo County, NM",County or equivalent,"556,678","556,678","557,545","562,375","572,597","581,442","2,034","8,284","8,324","8,126",919,"4,090","4,307","4,532",514,"2,002","2,007","1,995",-787,"-1,106","4,210","3,295",25,-260,-12,-39
10740,,35043,"Sandoval County, NM",County or equivalent,"89,908","89,908","90,618","92,759","95,668","98,786",311,"1,252","1,287","1,290",97,585,613,645,20,81,82,81,461,"1,386","2,122","2,364",15,7,31,28
10740,,35057,"Torrance County, NM",County or equivalent,"16,911","16,911","16,976","16,742","16,626","16,802",47,206,204,173,24,112,112,118,6,23,23,23,36,-355,-232,101,0,4,1,-3
10740,,35061,"Valencia County, NM",County or equivalent,"66,152","66,152","66,455","66,817","67,482","67,839",227,983,997,989,99,465,487,503,34,135,136,135,137,-266,46,-247,4,-25,-27,-17
10780,,,"Alexandria, LA",Metropolitan Statistical Area,"145,035","145,035","145,123","145,045","145,305","146,281",553,"2,192","2,180","2,319",368,"1,595","1,544","1,517",19,75,75,74,-117,-701,-411,133,1,-49,-40,-33
10780,,22043,"Grant Parish, LA",County or equivalent,"18,698","18,698","18,710","18,724","18,737","18,887",66,264,260,284,56,201,183,170,0,2,2,2,2,-40,-60,39,0,-11,-6,-5
10780,,22079,"Rapides Parish, LA",County or equivalent,"126,337","126,337","126,413","126,321","126,568","127,394",487,"1,928","1,920","2,035",312,"1,394","1,361","1,347",19,73,73,72,-119,-661,-351,94,1,-38,-34,-28
10900,,,"Allentown-Bethlehem-Easton, PA-NJ",Metropolitan Statistical Area,"740,395","740,394","741,847","749,199","757,636","768,036","2,117","8,600","8,480","8,226","1,650","7,363","7,311","7,411",407,"1,632","1,632","1,632",631,"4,563","5,654","7,898",-52,-80,-18,55
